Date,Low,High,Close,Volume,Open
2013-04-29 23:59:59.999,134.0,147.48800659179688,144.5399932861328,0.0,134.44400024414062
2013-04-30 23:59:59.999,134.0500030517578,146.92999267578125,139.0,0.0,144.0
2013-05-01 23:59:59.999,107.72000122070312,139.88999938964844,116.98999786376953,0.0,139.0
2013-05-02 23:59:59.999,92.28189849853516,125.5999984741211,105.20999908447266,0.0,116.37999725341797
2013-05-03 23:59:59.999,79.0999984741211,108.12799835205078,97.75,0.0,106.25
2013-05-04 23:59:59.999,92.5,115.0,112.5,0.0,98.0999984741211
2013-05-05 23:59:59.999,107.14299774169922,118.80000305175781,115.91000366210938,0.0,112.9000015258789
2013-05-06 23:59:59.999,106.63999938964844,124.66300201416016,112.30000305175781,0.0,115.9800033569336
2013-05-07 23:59:59.999,97.69999694824219,113.44400024414062,111.5,0.0,112.25
2013-05-08 23:59:59.999,109.5999984741211,115.77999877929688,113.56600189208984,0.0,109.5999984741211
2013-05-09 23:59:59.999,109.26000213623047,113.45999908447266,112.66999816894531,0.0,113.19999694824219
2013-05-10 23:59:59.999,111.5510025024414,122.0,117.19999694824219,0.0,112.79900360107422
2013-05-11 23:59:59.999,113.01000213623047,118.67900085449219,115.24299621582031,0.0,117.69999694824219
2013-05-12 23:59:59.999,113.43499755859375,117.4489974975586,115.0,0.0,115.63999938964844
2013-05-13 23:59:59.999,114.5,118.6989974975586,117.9800033569336,0.0,114.81999969482422
2013-05-14 23:59:59.999,110.25,119.80000305175781,111.5,0.0,117.9800033569336
2013-05-15 23:59:59.999,103.5,115.80999755859375,114.22000122070312,0.0,111.4000015258789
2013-05-16 23:59:59.999,112.19999694824219,118.76000213623047,118.76000213623047,0.0,114.22000122070312
2013-05-17 23:59:59.999,116.57099914550781,125.30000305175781,123.01499938964844,0.0,118.20999908447266
2013-05-18 23:59:59.999,122.30000305175781,125.25,123.49800109863281,0.0,123.5
2013-05-19 23:59:59.999,119.57099914550781,124.5,121.98999786376953,0.0,123.21099853515625
2013-05-20 23:59:59.999,120.12000274658203,123.62100219726562,122.0,0.0,122.5
2013-05-21 23:59:59.999,121.20999908447266,123.0,122.87999725341797,0.0,122.0199966430664
